CampsiteCode,month,capacity_month_mean,avgtemp_month_mean
Flamigo,8,326.0,17.5
Flamigo,9,326.0,12.5
Flamigo,10,326.0,7.5
Flamigo,11,326.0,2.5
Flamigo,12,326.0,-1.0
Venusaur,1,342.0,6.5
Venusaur,2,342.0,8.0
Venusaur,3,342.0,11.0
Venusaur,4,342.0,13.5
Venusaur,5,342.0,17.5
Venusaur,6,342.0,23.0
Venusaur,7,342.0,27.0
Venusaur,8,342.0,26.5
Venusaur,9,342.0,22.0
Venusaur,10,342.0,15.5
Venusaur,11,342.0,10.0
Venusaur,12,342.0,7.0
Woobat,1,225.0,-2.0
Woobat,2,225.0,-1.0
Woobat,3,225.0,3.5
Woobat,4,225.0,9.5
Woobat,5,225.0,15.0
Woobat,6,225.0,18.5
Woobat,7,225.0,20.5
Woobat,8,225.0,19.799999999999567
Woobat,9,225.0,14.799999999999496
Woobat,10,225.0,9.0
Woobat,11,225.0,3.5
Woobat,12,225.0,0.0
Bellsprout,1,148.0,4.0
Bellsprout,2,148.0,4.5
Bellsprout,3,148.0,6.5
Bellsprout,4,148.0,8.5
Bellsprout,5,148.0,11.5
Bellsprout,6,148.0,14.0
Bellsprout,7,148.0,16.0
Bellsprout,8,148.0,15.5
Bellsprout,9,148.0,13.0
Bellsprout,10,148.0,10.0
Bellsprout,11,148.0,6.5
Bellsprout,12,148.0,4.5
Zigzagoon,1,295.1111111111111,-3.0
Zigzagoon,2,296.0,-3.5
Zigzagoon,3,296.8888888888889,0.5
Zigzagoon,4,295.1111111111111,5.5
Zigzagoon,5,296.0,11.5
Zigzagoon,6,296.8888888888889,16.0
Zigzagoon,7,295.1111111111111,18.5
Zigzagoon,8,296.0,17.5
Zigzagoon,9,296.0,12.5
Zigzagoon,10,296.0,7.5
Zigzagoon,11,296.0,2.5
Zigzagoon,12,296.8888888888889,-1.0
Lickitung,1,138.0,6.0
Lickitung,2,138.0,6.200000000000061
Lickitung,3,138.0,8.5
Lickitung,4,138.0,10.799999999999613
Lickitung,5,138.0,13.799999999999573
Lickitung,6,138.0,16.5
Lickitung,7,138.0,18.20000000000032
Lickitung,8,138.0,18.5
Lickitung,9,138.0,16.5
Lickitung,10,138.0,13.0
Lickitung,11,138.0,9.200000000000278
Lickitung,12,138.0,6.799999999999813
Grafaiai2,1,349.0,6.5
Grafaiai2,2,349.0,8.0
Grafaiai2,3,349.0,11.0
Grafaiai2,4,349.0,13.5
Grafaiai2,5,349.0,17.5
Grafaiai2,6,349.0,23.0
Grafaiai2,7,349.0,27.0
Grafaiai2,8,349.0,26.5
Grafaiai2,9,349.0,22.0
Grafaiai2,10,349.0,15.5
Grafaiai2,11,349.0,10.0
Grafaiai2,12,349.0,7.0
Zweilous,1,171.0,4.0
Zweilous,2,171.0,4.5
Zweilous,3,171.0,6.5
Zweilous,4,171.0,8.5
Zweilous,5,171.0,11.5
Zweilous,6,171.0,14.0
Zweilous,7,171.0,16.0
Zweilous,8,171.0,15.5
Zweilous,9,171.0,13.0
Zweilous,10,171.0,10.0
Zweilous,11,171.0,6.5
Zweilous,12,171.0,4.5
Manectric,1,252.0,2.0
Manectric,2,252.0,2.5
Manectric,3,252.0,4.5
Manectric,4,252.0,7.0
Manectric,5,252.0,11.0
Manectric,6,252.0,14.0
Manectric,7,252.0,16.0
Manectric,8,252.0,15.5
Manectric,9,252.0,12.5
Manectric,10,252.0,9.0
Manectric,11,252.0,5.0
Manectric,12,252.0,3.0
Amoonguss,1,155.0,7.0
Amoonguss,2,155.0,8.0
Amoonguss,3,155.0,11.0
Amoonguss,4,155.0,14.0
Amoonguss,5,155.0,18.0
Amoonguss,6,155.0,22.5
Amoonguss,7,155.0,25.5
Amoonguss,8,155.0,25.0
Amoonguss,9,155.0,21.0
Amoonguss,10,155.0,16.0
Amoonguss,11,155.0,10.5
Amoonguss,12,155.0,7.5
Baltoy,1,406.0,6.0
Baltoy,2,406.0,6.200000000000061
Baltoy,3,406.0,8.5
Baltoy,4,406.0,10.799999999999613
Baltoy,5,406.0,13.799999999999573
Baltoy,6,406.0,16.5
Baltoy,7,406.0,18.20000000000032
Baltoy,8,406.0,18.5
Baltoy,9,406.0,16.5
Baltoy,10,406.0,13.0
Baltoy,11,406.0,9.200000000000278
Baltoy,12,406.0,6.799999999999813
Weavile,1,401.0,2.0
Weavile,2,401.0,2.5
Weavile,3,401.0,4.5
Weavile,4,401.0,7.0
Weavile,5,401.0,11.0
Weavile,6,401.0,14.0
Weavile,7,401.0,16.0
Weavile,8,401.0,15.5
Weavile,9,401.0,12.5
Weavile,10,401.0,9.0
Weavile,11,401.0,5.0
Weavile,12,401.0,3.0
Heatmor,1,156.0,4.0
Heatmor,2,156.0,4.5
Heatmor,3,156.0,6.5
Heatmor,4,156.0,8.5
Heatmor,5,156.0,11.5
Heatmor,6,156.0,14.0
Heatmor,7,156.0,16.0
Heatmor,8,156.0,15.5
Heatmor,9,156.0,13.0
Heatmor,10,156.0,10.0
Heatmor,11,156.0,6.5
Heatmor,12,156.0,4.5
Bouffalant,1,318.0,7.0
Bouffalant,2,318.0,8.0
Bouffalant,3,318.0,11.0
Bouffalant,4,318.0,14.0
Bouffalant,5,318.0,18.0
Bouffalant,6,318.0,22.5
Bouffalant,7,318.0,25.5
Bouffalant,8,318.0,25.0
Bouffalant,9,318.0,21.0
Bouffalant,10,318.0,16.0
Bouffalant,11,318.0,10.5
Bouffalant,12,318.0,7.5
Wattrel,1,554.0,-2.0
Wattrel,2,554.0,-1.0
Wattrel,3,554.0,3.5
Wattrel,4,554.0,9.5
Wattrel,5,554.0,15.0
Wattrel,6,554.0,18.5
Wattrel,7,554.0,20.5
Wattrel,8,554.0,19.799999999999567
Wattrel,9,554.0,14.799999999999496
Wattrel,10,554.0,9.0
Wattrel,11,554.0,3.5
Wattrel,12,554.0,0.0
Aerodactyl,1,151.88888888888889,7.0
Aerodactyl,2,152.0,8.0
Aerodactyl,3,152.11111111111111,11.0
Aerodactyl,4,151.88888888888889,14.0
Aerodactyl,5,152.0,18.0
Aerodactyl,6,152.11111111111111,22.5
Aerodactyl,7,151.88888888888889,25.5
Aerodactyl,8,152.0,25.0
Aerodactyl,9,152.0,21.0
Aerodactyl,10,152.0,16.0
Aerodactyl,11,152.0,10.5
Aerodactyl,12,152.11111111111111,7.5
Weavile1,1,157.0,4.0
Weavile1,2,157.0,4.5
Weavile1,3,157.0,6.5
Weavile1,4,157.0,8.5
Weavile1,5,157.0,11.5
Weavile1,6,157.0,14.0
Weavile1,7,157.0,16.0
Weavile1,8,157.0,15.5
Weavile1,9,157.0,13.0
Weavile1,10,157.0,10.0
Weavile1,11,157.0,6.5
Weavile1,12,157.0,4.5
Garbodor1,1,481.1111111111111,12.0
Garbodor1,2,483.5,12.5
Garbodor1,3,485.8888888888889,14.0
Garbodor1,4,481.1111111111111,17.0
Garbodor1,5,483.5,21.0
Garbodor1,6,485.8888888888889,25.5
Garbodor1,7,481.1111111111111,28.0
Garbodor1,8,483.5,28.0
Garbodor1,9,483.5,25.0
Garbodor1,10,483.5,21.0
Garbodor1,11,483.5,17.0
Garbodor1,12,485.8888888888889,13.5
Exeggutor,1,221.0,12.0
Exeggutor,2,221.0,12.5
Exeggutor,3,221.0,14.0
Exeggutor,4,221.0,17.0
Exeggutor,5,221.0,21.0
Exeggutor,6,221.0,25.5
Exeggutor,7,221.0,28.0
Exeggutor,8,221.0,28.0
Exeggutor,9,221.0,25.0
Exeggutor,10,221.0,21.0
Exeggutor,11,221.0,17.0
Exeggutor,12,221.0,13.5
Magmar1,1,535.0,-2.0
Magmar1,2,535.0,-1.0
Magmar1,3,535.0,3.5
Magmar1,4,535.0,9.5
Magmar1,5,535.0,15.0
Magmar1,6,535.0,18.5
Magmar1,7,535.0,20.5
Magmar1,8,535.0,19.799999999999567
Magmar1,9,535.0,14.799999999999496
Magmar1,10,535.0,9.0
Magmar1,11,535.0,3.5
Magmar1,12,535.0,0.0
Zeraora,1,200.33333333333334,0.5
Zeraora,2,201.0,1.8000000000000385
Zeraora,3,201.66666666666666,6.200000000000134
Zeraora,4,200.33333333333334,10.5
Zeraora,5,201.0,15.200000000000456
Zeraora,6,201.66666666666666,18.599999999999334
Zeraora,7,200.33333333333334,20.5
Zeraora,8,201.0,19.799999999999567
Zeraora,9,201.0,15.5
